Transaction_ID,Items
169,"Banana, Beer, Bread, Butter, Eggs"
170,"Butter, Bread, Eggs, Cereal"
171,"Apple, Eggs, Diapers"
172,"Bread, Butter"
173,"Cereal, Milk, Banana, Apple, Diapers"
174,"Milk, Apple, Beer, Cereal"
175,"Diapers, Beer, Bread, Banana"
176,"Coffee, Cereal, Diapers"
177,"Beer, Cereal"
178,"Coffee, Butter"
179,"Eggs, Beer, Banana, Coffee"
180,"Apple, Diapers, Cereal"
181,"Diapers, Bread, Cereal, Apple, Butter"
182,"Bread, Coffee"
183,"Eggs, Beer, Banana, Diapers, Milk"
184,"Milk, Butter"
185,"Bread, Milk, Banana, Cereal, Butter"
186,"Eggs, Banana, Apple, Bread"
187,"Milk, Beer, Banana, Butter"
188,"Beer, Banana, Bread, Apple, Cereal"
189,"Eggs, Coffee, Diapers, Beer, Butter"
190,"Cereal, Bread, Beer"
191,"Bread, Butter, Banana, Coffee"
192,"Cereal, Butter, Milk, Banana"
193,"Coffee, Eggs, Cereal, Diapers, Butter"
194,"Bread, Banana, Butter, Cereal"
195,"Eggs, Beer, Coffee"
196,"Butter, Bread, Banana, Diapers"
197,"Banana, Apple, Bread, Cereal"
198,"Beer, Apple"
199,"Banana, Butter"
200,"Milk, Apple, Beer, Butter"
201,"Cereal, Beer"
202,"Coffee, Butter, Eggs"
203,"Milk, Butter, Cereal, Bread"
204,"Cereal, Apple"
205,"Apple, Banana, Butter"
206,"Butter, Eggs, Bread, Apple, Diapers"
207,"Bread, Diapers, Butter, Eggs"
208,"Banana, Bread, Milk, Beer, Coffee"
209,"Diapers, Bread, Butter, Coffee, Cereal"
210,"Banana, Bread, Apple"
211,"Apple, Banana, Diapers, Bread, Milk"
212,"Beer, Coffee, Butter, Cereal"
213,"Banana, Beer, Cereal"
214,"Bread, Banana, Cereal"
215,"Beer, Butter, Apple, Eggs, Bread"
216,"Banana, Cereal, Beer, Butter"
217,"Cereal, Bread, Coffee, Diapers"
218,"Butter, Bread"
219,"Bread, Cereal, Eggs"
220,"Butter, Apple, Beer, Cereal"
221,"Coffee, Bread, Cereal, Butter, Milk"
222,"Coffee, Diapers, Cereal, Milk"
223,"Butter, Beer"
224,"Apple, Bread"
225,"Milk, Bread, Cereal, Diapers"
226,"Banana, Cereal, Bread, Apple, Diapers"
227,"Diapers, Butter, Bread, Milk"
228,"Butter, Coffee, Apple, Banana"
229,"Diapers, Milk, Butter"
230,"Beer, Apple, Milk"
231,"Eggs, Cereal, Beer, Diapers, Butter"
232,"Beer, Butter, Bread, Coffee"
233,"Apple, Cereal, Diapers"
234,"Coffee, Apple"
235,"Butter, Bread, Apple, Milk, Cereal"
236,"Apple, Coffee, Milk, Eggs"
237,"Apple, Eggs, Coffee"
238,"Bread, Cereal, Eggs, Milk, Banana"
239,"Beer, Eggs, Cereal, Bread, Coffee"
240,"Milk, Diapers"
241,"Eggs, Apple, Coffee, Beer"
242,"Banana, Diapers"
243,"Coffee, Diapers, Cereal, Banana, Butter"
244,"Cereal, Banana"
245,"Beer, Cereal, Milk, Apple"
246,"Cereal, Beer, Butter, Banana, Bread"
247,"Butter, Apple"
248,"Banana, Milk, Butter"
249,"Banana, Milk, Cereal, Eggs"
250,"Milk, Butter, Coffee"
251,"Apple, Cereal, Milk"
252,"Bread, Milk, Butter, Eggs, Apple"
253,"Coffee, Cereal, Milk, Apple"
254,"Coffee, Bread, Eggs, Banana"
255,"Banana, Milk, Butter, Bread"
256,"Cereal, Beer, Bread, Apple"
257,"Butter, Eggs, Diapers, Milk"
258,"Diapers, Bread, Beer, Butter, Coffee"
259,"Banana, Diapers, Coffee, Apple, Bread"
260,"Bread, Coffee, Eggs, Butter, Banana"
261,"Butter, Banana, Milk"
262,"Eggs, Banana, Butter"
263,"Diapers, Cereal"
264,"Cereal, Banana, Beer"
265,"Diapers, Butter, Milk, Cereal, Apple"
266,"Banana, Diapers"
267,"Milk, Beer"
268,"Beer, Cereal, Apple, Milk"
269,"Bread, Diapers, Milk, Cereal, Butter"
270,"Apple, Beer"
271,"Banana, Cereal, Beer, Butter"
272,"Apple, Coffee"
273,"Milk, Banana, Diapers, Butter, Coffee"
274,"Cereal, Diapers, Apple, Coffee"
275,"Milk, Butter, Apple"
276,"Eggs, Milk, Cereal, Banana"
277,"Cereal, Beer, Apple"
278,"Milk, Apple, Butter, Diapers"
279,"Diapers, Milk"
280,"Milk, Apple, Beer, Banana, Bread"
281,"Cereal, Bread, Beer"
282,"Butter, Milk, Cereal"
283,"Bread, Cereal"
284,"Coffee, Apple, Beer, Butter"
285,"Coffee, Banana"
286,"Beer, Butter"
287,"Milk, Butter"
288,"Diapers, Butter, Apple, Banana, Coffee"
289,"Beer, Diapers, Apple, Milk, Cereal"
290,"Beer, Eggs"
291,"Butter, Milk, Apple, Diapers, Cereal"
292,"Butter, Bread"
293,"Bread, Milk, Cereal, Eggs"
294,"Cereal, Butter, Banana"
295,"Apple, Diapers, Milk"
296,"Cereal, Bread"
297,"Apple, Beer, Diapers"
298,"Eggs, Cereal"
299,"Diapers, Coffee, Cereal, Beer, Banana"
300,"Milk, Banana, Butter"
301,"Banana, Beer"
302,"Milk, Apple"
303,"Banana, Eggs, Bread"
304,"Eggs, Banana, Coffee, Beer, Milk"
305,"Apple, Bread, Coffee"
306,"Milk, Apple"
307,"Coffee, Apple, Banana, Eggs"
308,"Eggs, Apple, Coffee, Beer, Cereal"
309,"Coffee, Milk, Banana, Beer"
310,"Beer, Coffee, Diapers, Bread, Eggs"
311,"Banana, Butter, Eggs, Cereal"
312,"Eggs, Beer, Butter, Coffee"
313,"Coffee, Milk, Bread, Butter"
314,"Coffee, Milk"
315,"Butter, Apple"
316,"Diapers, Eggs, Bread"
317,"Milk, Beer, Eggs, Coffee, Apple"
318,"Butter, Cereal, Coffee"
319,"Banana, Diapers"
320,"Apple, Eggs, Coffee, Banana, Butter"
321,"Diapers, Cereal, Milk, Banana"
322,"Diapers, Cereal, Milk, Bread, Apple"
323,"Diapers, Eggs, Beer, Banana, Milk"
324,"Beer, Bread, Apple, Banana, Diapers"
325,"Beer, Bread, Cereal, Milk"
326,"Bread, Diapers, Eggs, Banana"
327,"Diapers, Bread, Beer, Coffee, Banana"
328,"Diapers, Eggs, Coffee, Apple, Milk"
329,"Apple, Milk, Diapers"
330,"Banana, Apple, Eggs, Butter"
331,"Butter, Banana"
332,"Apple, Cereal, Coffee"
333,"Beer, Butter, Coffee"
334,"Bread, Beer"
335,"Bread, Butter, Apple, Eggs, Coffee"
336,"Cereal, Banana, Bread, Apple, Butter"
337,"Milk, Eggs"
338,"Beer, Apple"
339,"Apple, Cereal, Bread, Milk, Eggs"
340,"Coffee, Diapers, Bread, Apple, Milk"
341,"Eggs, Milk, Cereal"
342,"Butter, Diapers, Milk"
343,"Milk, Diapers, Beer, Banana"
344,"Coffee, Beer, Banana, Apple, Milk"
345,"Apple, Butter, Diapers, Bread"
346,"Coffee, Apple, Bread"
347,"Cereal, Banana, Milk"
348,"Banana, Diapers, Bread, Cereal, Butter"
349,"Milk, Bread, Cereal, Diapers"
350,"Bread, Butter, Eggs, Beer"
351,"Beer, Apple, Coffee"
352,"Beer, Bread, Butter, Cereal"
353,"Butter, Diapers, Banana, Eggs, Beer"
354,"Diapers, Eggs"
355,"Bread, Coffee, Eggs, Beer"
356,"Coffee, Banana, Diapers, Cereal"
357,"Banana, Apple, Butter"
358,"Butter, Bread, Diapers, Eggs"
359,"Butter, Beer, Eggs"
360,"Butter, Milk, Apple"
361,"Coffee, Butter, Eggs, Cereal"
362,"Milk, Diapers"
363,"Banana, Diapers"
364,"Butter, Bread"
365,"Diapers, Apple, Bread, Banana"
366,"Banana, Bread, Cereal, Butter"
367,"Eggs, Beer, Apple, Butter, Banana"
368,"Banana, Cereal"
369,"Diapers, Banana, Bread, Cereal"
370,"Banana, Eggs, Diapers"
371,"Apple, Banana"
372,"Butter, Milk, Bread, Coffee"
373,"Diapers, Bread, Banana"
374,"Diapers, Beer, Banana, Milk"
375,"Beer, Milk, Butter, Diapers, Eggs"
376,"Bread, Coffee, Cereal, Milk"
377,"Cereal, Bread, Butter, Diapers"
378,"Coffee, Banana, Butter, Bread, Diapers"
379,"Banana, Diapers, Beer, Milk"
380,"Cereal, Coffee"
381,"Coffee, Banana, Apple, Beer, Eggs"
382,"Cereal, Banana, Beer, Diapers"
383,"Bread, Milk, Banana, Diapers"
384,"Milk, Eggs, Banana"
385,"Beer, Butter"
386,"Diapers, Banana"
387,"Bread, Beer, Coffee, Apple, Milk"
388,"Bread, Apple, Beer, Banana, Milk"
389,"Banana, Coffee"
390,"Coffee, Milk"
391,"Bread, Banana, Diapers"
392,"Banana, Milk, Apple, Diapers"
393,"Diapers, Milk, Banana, Apple"
394,"Diapers, Cereal, Apple, Coffee, Beer"
395,"Apple, Banana, Butter, Diapers, Milk"
396,"Milk, Coffee, Banana, Bread"
397,"Butter, Beer, Apple, Eggs, Coffee"
398,"Milk, Banana, Cereal"
399,"Bread, Coffee, Banana"
400,"Apple, Bread, Diapers"
401,"Cereal, Coffee, Diapers, Banana"
402,"Milk, Coffee, Banana"
403,"Beer, Butter, Coffee"
404,"Bread, Banana, Coffee"
405,"Beer, Milk, Cereal, Diapers"
406,"Apple, Milk, Coffee, Banana"
407,"Diapers, Eggs, Apple, Beer, Bread"
408,"Diapers, Butter, Milk"
409,"Butter, Apple, Milk, Banana, Coffee"
410,"Beer, Eggs, Butter, Bread, Cereal"
411,"Diapers, Apple, Milk"
412,"Apple, Butter, Coffee"
413,"Coffee, Apple, Cereal, Bread, Eggs"
414,"Cereal, Milk, Eggs"
415,"Coffee, Eggs, Bread, Beer, Butter"
416,"Milk, Apple"
417,"Eggs, Beer, Butter, Diapers, Banana"
418,"Apple, Beer, Coffee, Eggs, Milk"
419,"Eggs, Cereal, Coffee, Diapers, Milk"
420,"Coffee, Apple"
421,"Banana, Bread, Cereal, Eggs"
422,"Apple, Eggs, Beer, Coffee, Milk"
423,"Beer, Apple"
424,"Eggs, Milk"
425,"Cereal, Eggs, Butter, Beer, Coffee"
426,"Diapers, Cereal"
427,"Coffee, Diapers, Milk, Eggs, Cereal"
428,"Eggs, Milk"
429,"Milk, Diapers, Apple, Bread, Cereal"
430,"Cereal, Banana, Apple, Diapers"
431,"Beer, Eggs, Milk"
432,"Diapers, Bread, Banana, Apple, Eggs"
433,"Bread, Milk, Diapers"
434,"Diapers, Banana, Butter, Eggs, Apple"
435,"Beer, Eggs"
436,"Eggs, Milk, Bread"
437,"Bread, Banana, Milk, Cereal"
438,"Milk, Apple, Banana"
439,"Diapers, Cereal"
440,"Beer, Apple, Banana"
441,"Milk, Beer"
442,"Butter, Apple"
443,"Cereal, Coffee, Butter, Eggs"
444,"Milk, Bread, Cereal, Coffee"
445,"Eggs, Beer"
446,"Eggs, Apple"
447,"Coffee, Bread, Eggs"
448,"Milk, Cereal, Diapers, Butter"
449,"Bread, Cereal, Butter, Beer, Eggs"
450,"Apple, Eggs, Banana, Cereal"
451,"Beer, Diapers, Butter, Coffee"
452,"Eggs, Butter"
453,"Apple, Coffee, Banana"
454,"Cereal, Coffee"
455,"Eggs, Diapers, Beer, Butter"
456,"Cereal, Eggs, Beer"
457,"Butter, Diapers"
458,"Cereal, Coffee, Beer, Diapers"
459,"Diapers, Bread"
460,"Bread, Coffee, Apple"
461,"Banana, Diapers, Bread, Milk"
462,"Butter, Beer"
463,"Banana, Cereal, Butter"
464,"Apple, Coffee"
465,"Banana, Butter, Diapers"
466,"Cereal, Coffee, Butter, Eggs"
467,"Butter, Banana"
468,"Butter, Diapers, Eggs, Banana"
469,"Apple, Milk, Bread, Coffee, Butter"
470,"Diapers, Eggs, Bread, Banana"
471,"Butter, Beer"
472,"Cereal, Eggs"
473,"Butter, Diapers, Banana, Bread, Cereal"
474,"Bread, Butter"
475,"Bread, Diapers, Eggs, Beer, Butter"
476,"Diapers, Banana"
477,"Coffee, Butter"
478,"Coffee, Banana"
479,"Milk, Coffee"
480,"Cereal, Coffee, Eggs"
481,"Diapers, Eggs, Banana, Cereal"
482,"Butter, Beer, Banana, Diapers"
483,"Eggs, Bread, Milk, Banana, Diapers"
484,"Milk, Banana, Bread, Cereal, Beer"
485,"Apple, Banana, Coffee"
486,"Banana, Butter"
487,"Banana, Bread, Eggs, Milk, Diapers"
488,"Eggs, Bread, Apple, Coffee, Banana"
489,"Eggs, Cereal, Coffee, Milk, Beer"
490,"Banana, Milk, Bread, Beer"
491,"Cereal, Banana"
492,"Coffee, Apple, Banana"
493,"Banana, Coffee, Cereal, Butter, Beer"
494,"Bread, Diapers, Cereal, Milk, Butter"
495,"Beer, Cereal, Butter"
496,"Cereal, Butter"
497,"Diapers, Milk, Coffee"
498,"Diapers, Bread, Beer, Milk"
499,"Eggs, Coffee, Banana, Diapers, Beer"
500,"Eggs, Butter, Apple"
